Person,Sentences,Plagiarised
A,"Mathematicians seek and use patterns to formulate new conjectures; they resolve the truth or falsity of such by mathematical proof. When mathematical structures are good models of real phenomena, mathematical reasoning can be used to provide insight or predictions about nature.",1
B,Tennis is a racket sport that can be played individually against a single opponent (singles) or between two teams of two players each (doubles). Each player uses a tennis racket that is strung with cord to strike a hollow rubber ball covered with felt over or around a net and into the opponent's court.,1
C,Tennis is racquet sport that is played against opponents or teams of players in douhbles. Each player uses a racquet that is strung with a wire to strike a hollow ball covered with fuzz over a net.,1
D,"Football is a family of team sports that involve, to varying degrees, kicking a ball to score a goal. Unqualified, the word football normally means the form of football that is the most popular where the word is used",0
E,"Terraria is a land of adventure! A land of mystery! A land that's yours to shape, defend, and enjoy. Your options in Terraria are limitless. Are you an action gamer with an itchy trigger finger? A master builder? A collector? An explorer? There's something for everyone.",1
F,"Mining is the extraction of valuable minerals or other geological materials from the Earth, usually from an ore body, lode, vein, seam, reef, or placer deposit. These deposits form a mineralized commodity that is of economic interest to the miner.",0
G,"Terraria is a land of fun! A land of mystery! A land that's yours to shape, defend, and enjoy. Your options in Terraria are unlimited. Do you want to shoot people with your finger? A master builder? There is usually a thing for everybody!",1
H,"Computer science is the study of algorithmic processes, computational machines and computation itself. As a discipline, computer science spans a range of topics from theoretical studies of algorithms, computation and information to the practical issues of implementing computational systems in hardware and software.",1
J,An actuary is a business professional who deals with the measurement and management of risk and uncertainty. The name of the corresponding field is actuarial science,0
K,"Computer science is when we study algorithmic processes, machines that are computational, and computation itself. It spans a range of topics from theoretical studies of algorithms, and computation and information to computer software.",1
L,"Apple was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne in 1976 to develop and sell Wozniak's Apple I personal computer. It was incorporated by Jobs and Wozniak as Apple Computer, Inc. in 1977, and sales of its computers, including the Apple II, grew quickly.",1
M,"Apple was founded by Steve and Steve. It was incorporated by Steve and Wozniak as Apple Computer, Inc. in 1977, and sales were good and grew quickly.",1
N,"Crocodiles (family Crocodylidae) or true crocodiles are large semiaquatic reptiles that live throughout the tropics in Africa, Asia, the Americas and Australia. The term crocodile is sometimes used even more loosely to include all extant members of the order Crocodilia",0
O,"Mathematicians seek and use patterns to formulate new conjectures; they resolve the truth or falsity of such by mathematical proof. When mathematical structures are good models of real phenomena, mathematical reasoning is used a lot.",1
P,"The kangaroo is a marsupial from the family Macropodidae (macropods, meaning ""large foot""). In common use the term is used to describe the largest species from this family, the red kangaroo, as well as the antilopine kangaroo, eastern grey kangaroo, and western grey kangaroo.",0
